,h3_polyfill,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,per_ocu_tot,denue_tot,ratio,per_ocu_95,ratio_95
196,8948a20f093ffff,19006,19,006,Apodaca,5,1,0.2,0,0
197,8948a20e22bffff,19006,19,006,Apodaca,35,2,0.05714285714285714,0,0
198,8948a20f393ffff,19006,19,006,Apodaca,25,4,0.16,0,0
199,8948a20f3d7ffff,19006,19,006,Apodaca,10,2,0.2,0,0
200,8948a20c88bffff,19006,19,006,Apodaca,300,2,0.006666666666666667,0,1
201,8948a20f4b7ffff,19006,19,006,Apodaca,10,2,0.2,0,0
202,8948a20c00fffff,19006,19,006,Apodaca,105,10,0.09523809523809523,0,0
203,8948a20c1afffff,19006,19,006,Apodaca,180,30,0.16666666666666666,0,0
204,8948a20f69bffff,19006,19,006,Apodaca,10,2,0.2,0,0
205,8948a20f047ffff,19006,19,006,Apodaca,205,12,0.05853658536585366,0,0
206,8948a20f557ffff,19006,19,006,Apodaca,355,40,0.11267605633802817,0,0
207,8948a20ca2fffff,19006,19,006,Apodaca,10,1,0.1,0,0
208,8948a20de63ffff,19006,19,006,Apodaca,10,1,0.1,0,0
209,8948a20ccafffff,19006,19,006,Apodaca,155,6,0.03870967741935484,0,0
210,8948a20e85bffff,19006,19,006,Apodaca,265,47,0.17735849056603772,0,0
211,8948a20ee83ffff,19006,19,006,Apodaca,100,18,0.18,0,0
212,8948a20f543ffff,19006,19,006,Apodaca,200,33,0.165,0,0
213,8948a20f203ffff,19006,19,006,Apodaca,130,2,0.015384615384615385,0,0
214,8948a20eb5bffff,19006,19,006,Apodaca,15,3,0.2,0,0
215,8948a20f3bbffff,19006,19,006,Apodaca,441,5,0.011337868480725623,0,0
216,8948a20f147ffff,19006,19,006,Apodaca,861,5,0.005807200929152149,0,1
217,8948a20a94fffff,19006,19,006,Apodaca,60,5,0.08333333333333333,0,0
218,8948a20c447ffff,19006,19,006,Apodaca,560,13,0.023214285714285715,0,0
219,8948a20f107ffff,19006,19,006,Apodaca,80,6,0.075,0,0
220,8948a20e237ffff,19006,19,006,Apodaca,60,2,0.03333333333333333,0,0
221,8948a20a927ffff,19006,19,006,Apodaca,180,27,0.15,0,0
222,8948a20f287ffff,19006,19,006,Apodaca,45,8,0.17777777777777778,0,0
223,8948a20e8d7ffff,19006,19,006,Apodaca,365,54,0.14794520547945206,0,0
224,8948a20f1abffff,19006,19,006,Apodaca,460,10,0.021739130434782608,0,0
225,8948a20f4cbffff,19006,19,006,Apodaca,145,19,0.1310344827586207,0,0
226,8948a20cc63ffff,19006,19,006,Apodaca,15,3,0.2,0,0
227,8948a20f237ffff,19006,19,006,Apodaca,301,1,0.0033222591362126247,0,1
228,8948a20e14fffff,19006,19,006,Apodaca,520,32,0.06153846153846154,0,0
229,8948a20c13bffff,19006,19,006,Apodaca,15,2,0.13333333333333333,0,0
230,8948a20cd7bffff,19006,19,006,Apodaca,80,2,0.025,0,0
231,8948a20f473ffff,19006,19,006,Apodaca,25,5,0.2,0,0
232,8948a20892bffff,19006,19,006,Apodaca,95,4,0.042105263157894736,0,0
233,8948a20f22fffff,19006,19,006,Apodaca,591,4,0.00676818950930626,0,1
234,8948a20f4cfffff,19006,19,006,Apodaca,120,14,0.11666666666666667,0,0
235,8948a20f57bffff,19006,19,006,Apodaca,275,29,0.10545454545454545,0,0
236,8948a20f0afffff,19006,19,006,Apodaca,260,38,0.14615384615384616,0,0
237,8948a20ce17ffff,19006,19,006,Apodaca,60,12,0.2,0,0
238,8948a20c167ffff,19006,19,006,Apodaca,200,24,0.12,0,0
239,8948a20c473ffff,19006,19,006,Apodaca,740,21,0.02837837837837838,0,0
240,8948a20d52fffff,19006,19,006,Apodaca,380,6,0.015789473684210527,0,0
241,8948a20e2b3ffff,19006,19,006,Apodaca,400,3,0.0075,0,1
242,8948a20eeb7ffff,19006,19,006,Apodaca,315,50,0.15873015873015872,0,0
243,8948a20f2abffff,19006,19,006,Apodaca,60,12,0.2,0,0
244,8948a20f447ffff,19006,19,006,Apodaca,840,85,0.10119047619047619,0,0
245,8948a20e32bffff,19006,19,006,Apodaca,230,4,0.017391304347826087,0,0
246,8948a20d6abffff,19006,19,006,Apodaca,5,1,0.2,0,0
247,8948a20e8cbffff,19006,19,006,Apodaca,1471,73,0.04962610469068661,1,0
248,8948a20e2cbffff,19006,19,006,Apodaca,240,41,0.17083333333333334,0,0
249,8948a20c15bffff,19006,19,006,Apodaca,311,3,0.00964630225080386,0,1
250,8948a20ee53ffff,19006,19,006,Apodaca,100,18,0.18,0,0
251,8948a20d5dbffff,19006,19,006,Apodaca,586,4,0.006825938566552901,0,1
252,8948a20d54fffff,19006,19,006,Apodaca,65,3,0.046153846153846156,0,0
253,8948a20ea4fffff,19006,19,006,Apodaca,20,4,0.2,0,0
254,8948a20d68fffff,19006,19,006,Apodaca,415,26,0.06265060240963856,0,0
255,8948a20f02fffff,19006,19,006,Apodaca,120,14,0.11666666666666667,0,0
256,8948a20e2d7ffff,19006,19,006,Apodaca,476,11,0.023109243697478993,0,0
257,8948a20f34bffff,19006,19,006,Apodaca,270,5,0.018518518518518517,0,0
258,8948a20f177ffff,19006,19,006,Apodaca,586,4,0.006825938566552901,0,1
259,8948a20c52fffff,19006,19,006,Apodaca,20,4,0.2,0,0
260,8948a20a92fffff,19006,19,006,Apodaca,130,26,0.2,0,0
261,8948a20f343ffff,19006,19,006,Apodaca,280,7,0.025,0,0
262,8948a20ee4bffff,19006,19,006,Apodaca,10,1,0.1,0,0
263,8948a20cc47ffff,19006,19,006,Apodaca,290,46,0.15862068965517243,0,0
264,8948a20e3a3ffff,19006,19,006,Apodaca,180,15,0.08333333333333333,0,0
265,8948a20cd17ffff,19006,19,006,Apodaca,50,1,0.02,0,0
266,8948a20e86fffff,19006,19,006,Apodaca,55,11,0.2,0,0
267,8948a20f09bffff,19006,19,006,Apodaca,5,1,0.2,0,0
268,8948a20f3d3ffff,19006,19,006,Apodaca,55,10,0.18181818181818182,0,0
269,8948a20cdd3ffff,19006,19,006,Apodaca,145,18,0.12413793103448276,0,0
270,8948a20f313ffff,19006,19,006,Apodaca,340,43,0.1264705882352941,0,0
271,8948a20d197ffff,19006,19,006,Apodaca,30,1,0.03333333333333333,0,0
272,8948a20f5dbffff,19006,19,006,Apodaca,451,23,0.050997782705099776,0,0
273,8948a20ee2fffff,19006,19,006,Apodaca,725,108,0.1489655172413793,0,0
274,8948a20f083ffff,19006,19,006,Apodaca,305,41,0.13442622950819672,0,0
275,8948a20e35bffff,19006,19,006,Apodaca,100,1,0.01,0,0
276,8948a20cd0fffff,19006,19,006,Apodaca,250,1,0.004,0,1
277,8948a20e313ffff,19006,19,006,Apodaca,15,2,0.13333333333333333,0,0
278,8948a20c02bffff,19006,19,006,Apodaca,240,21,0.0875,0,0
279,8948a20ee8bffff,19006,19,006,Apodaca,85,11,0.12941176470588237,0,0
280,8948a20d423ffff,19006,19,006,Apodaca,290,3,0.010344827586206896,0,0
281,8948a20f6c3ffff,19006,19,006,Apodaca,175,25,0.14285714285714285,0,0
282,8948a20f4abffff,19006,19,006,Apodaca,145,20,0.13793103448275862,0,0
283,8948a20ee0bffff,19006,19,006,Apodaca,310,51,0.16451612903225807,0,0
284,8948a20c04bffff,19006,19,006,Apodaca,420,21,0.05,0,0
285,8948a20e06fffff,19006,19,006,Apodaca,1316,49,0.03723404255319149,1,0
286,8948a20f37bffff,19006,19,006,Apodaca,375,16,0.042666666666666665,0,0
287,8948a20ceb3ffff,19006,19,006,Apodaca,140,20,0.14285714285714285,0,0
288,8948a20e227ffff,19006,19,006,Apodaca,85,6,0.07058823529411765,0,0
289,8948a20f413ffff,19006,19,006,Apodaca,155,24,0.15483870967741936,0,0
290,8948a20eb9bffff,19006,19,006,Apodaca,130,16,0.12307692307692308,0,0
291,8948a20f0b3ffff,19006,19,006,Apodaca,295,39,0.13220338983050847,0,0
292,8948a20e31bffff,19006,19,006,Apodaca,5,1,0.2,0,0
293,8948a20f3b3ffff,19006,19,006,Apodaca,230,37,0.1608695652173913,0,0
294,8948a20c057ffff,19006,19,006,Apodaca,125,9,0.072,0,0
295,8948a20c663ffff,19006,19,006,Apodaca,661,5,0.007564296520423601,0,1
296,8948a20d2b7ffff,19006,19,006,Apodaca,250,1,0.004,0,1
297,8948a20d047ffff,19006,19,006,Apodaca,651,3,0.004608294930875576,0,1
298,8948a20f42fffff,19006,19,006,Apodaca,190,27,0.14210526315789473,0,0
299,8948a20e243ffff,19006,19,006,Apodaca,195,37,0.18974358974358974,0,0
300,8948a20f6d3ffff,19006,19,006,Apodaca,215,32,0.14883720930232558,0,0
301,8948a20f1c7ffff,19006,19,006,Apodaca,430,45,0.10465116279069768,0,0
302,8948a20c2dbffff,19006,19,006,Apodaca,306,2,0.006535947712418301,0,1
303,8948a20d08fffff,19006,19,006,Apodaca,10,2,0.2,0,0
304,8948a20e37bffff,19006,19,006,Apodaca,105,19,0.18095238095238095,0,0
305,8948a20d5c3ffff,19006,19,006,Apodaca,1082,9,0.00831792975970425,0,1
306,8948a20c067ffff,19006,19,006,Apodaca,50,5,0.1,0,0
307,8948a20d43bffff,19006,19,006,Apodaca,115,3,0.02608695652173913,0,0
308,8948a20ea93ffff,19006,19,006,Apodaca,325,61,0.18769230769230769,0,0
309,8948a20cebbffff,19006,19,006,Apodaca,65,7,0.1076923076923077,0,0
